127.0.0.1, 2017-01-04 19:36:51, GET, /admin/default/ticket/SPE/127.0.0.1.2017-01-04.19-36-48.cf417a5d-d0d4-403d-91dd-51cc360bd751, HTTP/1.1, 303, 0.083603
127.0.0.1, 2017-01-04 19:36:51, GET, /admin, HTTP/1.1, 200, 0.022742
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000625
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000496
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001503
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.002516
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000549
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001117
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000684
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2017-01-04 19:36:51, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000581
127.0.0.1, 2017-01-04 19:36:56, POST, /admin, HTTP/1.1, 303, 0.026847
127.0.0.1, 2017-01-04 19:36:56, GET, /admin/default/ticket/SPE/127.0.0.1.2017-01-04.19-36-48.cf417a5d-d0d4-403d-91dd-51cc360bd751, HTTP/1.1, 200, 0.040322
127.0.0.1, 2017-01-04 19:49:22, GET, /admin, HTTP/1.1, 303, 0.002909
127.0.0.1, 2017-01-04 19:49:22, GET, /admin/site, HTTP/1.1, 200, 0.045512
127.0.0.1, 2017-01-04 19:49:23, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2017-01-04 19:49:23, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2017-01-04 19:49:23, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2017-01-04 19:49:24, POST, /admin/check_version, HTTP/1.1, 200, 1.712844
127.0.0.1, 2017-01-04 19:51:22, GET, /, HTTP/1.1, 500, 0.136284
127.0.0.1, 2017-01-04 19:51:24, GET, /, HTTP/1.1, 500, 0.039064
127.0.0.1, 2017-01-04 19:51:25, GET, /, HTTP/1.1, 500, 0.036185
127.0.0.1, 2017-01-04 19:51:28, GET, /, HTTP/1.1, 500, 0.037979
127.0.0.1, 2017-01-04 19:51:28, GET, /, HTTP/1.1, 500, 0.035668
127.0.0.1, 2017-01-04 19:51:29, GET, /, HTTP/1.1, 500, 0.035244
127.0.0.1, 2017-01-04 19:52:39, GET, /admin/default/ticket/SPE/127.0.0.1.2017-01-04.19-51-29.1ba74141-0f6d-4bac-bf1b-dacc68334264, HTTP/1.1, 200, 0.096748
127.0.0.1, 2017-01-04 19:53:09, GET, /, HTTP/1.1, 500, 0.066160
127.0.0.1, 2017-01-04 19:53:10, GET, /, HTTP/1.1, 500, 0.035869
127.0.0.1, 2017-01-04 19:53:10, GET, /, HTTP/1.1, 500, 0.040889
127.0.0.1, 2017-01-04 19:53:11, GET, /admin/default/ticket/SPE/127.0.0.1.2017-01-04.19-53-10.3689277e-d422-44d2-ac9e-6ea38c2ca075, HTTP/1.1, 200, 0.045897
127.0.0.1, 2017-01-04 19:59:08, GET, /, HTTP/1.1, 200, 36.944970
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/navbar.css, HTTP/1.1, 200, 0.000508
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/main.css, HTTP/1.1, 200, 0.000453
